year,period,periodName,value,state_cd,state_nm,type
2018,M01,January,4.6,53,Washington,Rate
2018,M02,February,4.5,53,Washington,Rate
2018,M03,March,4.5,53,Washington,Rate
2018,M04,April,4.5,53,Washington,Rate
2018,M05,May,4.4,53,Washington,Rate
2018,M06,June,4.4,53,Washington,Rate
2018,M07,July,4.4,53,Washington,Rate
2018,M08,August,4.4,53,Washington,Rate
2018,M09,September,4.4,53,Washington,Rate
2018,M10,October,4.4,53,Washington,Rate
2018,M11,November,4.5,53,Washington,Rate
2018,M12,December,4.5,53,Washington,Rate
2019,M01,January,4.5,53,Washington,Rate
2019,M02,February,4.5,53,Washington,Rate
2019,M03,March,4.5,53,Washington,Rate
2019,M04,April,4.4,53,Washington,Rate
2019,M05,May,4.4,53,Washington,Rate
2019,M06,June,4.3,53,Washington,Rate
2019,M07,July,4.2,53,Washington,Rate
2019,M08,August,4.2,53,Washington,Rate
2019,M09,September,4.1,53,Washington,Rate
2019,M10,October,4.0,53,Washington,Rate
2019,M11,November,4.0,53,Washington,Rate
2019,M12,December,4.0,53,Washington,Rate
2020,M01,January,3.9,53,Washington,Rate
2020,M02,February,3.8,53,Washington,Rate
2020,M03,March,5.1,53,Washington,Rate
2020,M04,April,16.3,53,Washington,Rate
2020,M05,May,15.1,53,Washington,Rate
2018,M01,January,171383.0,53,Washington,Employment
2018,M02,February,170795.0,53,Washington,Employment
2018,M03,March,170114.0,53,Washington,Employment
2018,M04,April,169121.0,53,Washington,Employment
2018,M05,May,168011.0,53,Washington,Employment
2018,M06,June,167146.0,53,Washington,Employment
2018,M07,July,166719.0,53,Washington,Employment
2018,M08,August,167038.0,53,Washington,Employment
2018,M09,September,168156.0,53,Washington,Employment
2018,M10,October,169932.0,53,Washington,Employment
2018,M11,November,171982.0,53,Washington,Employment
2018,M12,December,173745.0,53,Washington,Employment
2019,M01,January,174717.0,53,Washington,Employment
2019,M02,February,174627.0,53,Washington,Employment
2019,M03,March,173782.0,53,Washington,Employment
2019,M04,April,172451.0,53,Washington,Employment
2019,M05,May,170790.0,53,Washington,Employment
2019,M06,June,168922.0,53,Washington,Employment
2019,M07,July,166584.0,53,Washington,Employment
2019,M08,August,163815.0,53,Washington,Employment
2019,M09,September,161055.0,53,Washington,Employment
2019,M10,October,158912.0,53,Washington,Employment
2019,M11,November,158520.0,53,Washington,Employment
2019,M12,December,158813.0,53,Washington,Employment
2020,M01,January,155468.0,53,Washington,Employment
2020,M02,February,151533.0,53,Washington,Employment
2020,M03,March,198560.0,53,Washington,Employment
2020,M04,April,645110.0,53,Washington,Employment
2020,M05,May,594342.0,53,Washington,Employment
2018,M01,January,3591510.0,53,Washington,Unemployment
2018,M02,February,3599592.0,53,Washington,Unemployment
2018,M03,March,3608360.0,53,Washington,Unemployment
2018,M04,April,3616762.0,53,Washington,Unemployment
2018,M05,May,3624247.0,53,Washington,Unemployment
2018,M06,June,3631464.0,53,Washington,Unemployment
2018,M07,July,3639106.0,53,Washington,Unemployment
2018,M08,August,3647826.0,53,Washington,Unemployment
2018,M09,September,3657561.0,53,Washington,Unemployment
2018,M10,October,3667579.0,53,Washington,Unemployment
2018,M11,November,3677322.0,53,Washington,Unemployment
2018,M12,December,3686298.0,53,Washington,Unemployment
2019,M01,January,3694229.0,53,Washington,Unemployment
2019,M02,February,3701364.0,53,Washington,Unemployment
2019,M03,March,3708611.0,53,Washington,Unemployment
2019,M04,April,3717134.0,53,Washington,Unemployment
2019,M05,May,3727376.0,53,Washington,Unemployment
2019,M06,June,3739115.0,53,Washington,Unemployment
2019,M07,July,3753135.0,53,Washington,Unemployment
2019,M08,August,3766907.0,53,Washington,Unemployment
2019,M09,September,3779057.0,53,Washington,Unemployment
2019,M10,October,3787504.0,53,Washington,Unemployment
2019,M11,November,3788021.0,53,Washington,Unemployment
2019,M12,December,3786562.0,53,Washington,Unemployment
2020,M01,January,3799772.0,53,Washington,Unemployment
2020,M02,February,3810985.0,53,Washington,Unemployment
2020,M03,March,3692118.0,53,Washington,Unemployment
2020,M04,April,3318207.0,53,Washington,Unemployment
2020,M05,May,3349159.0,53,Washington,Unemployment
2018,M01,January,3.2,46,South Dakota,Rate
